date,Daily Top20,Weekly Top20,Weekly Buffer 20/25,Weekly Score50 MADScale,Biweekly Score50 MADScale
2026-02-10,1.776762471144165,1.7025103204851473,1.6572240396581084,1.8817361832936137,1.8817361832936137
2026-02-11,1.7814907090936294,1.7011305799884537,1.6630069657869626,1.8886376597534957,1.8886376597534957
2026-02-12,1.810683462914894,1.7244984296725199,1.6890491026505847,1.9138242336945153,1.9138242336945153
2026-02-13,1.8026878465688492,1.7174410142002274,1.6905603775642686,1.9126597117327628,1.9126597117327628
2026-02-19,1.844379187139204,1.7569411488796405,1.7302293713381405,1.9606244007926799,1.9606244007926799
2026-02-20,1.8813123620139014,1.7921234016119394,1.7591449759206221,2.0080389733521313,2.0080389733521313
2026-02-23,1.8926589207046571,1.8029320444338572,1.7739379342006125,2.0317114501236984,2.0317114501236984
2026-02-24,1.8991554258895769,1.8091205643233057,1.782180329473871,2.0389253139075243,2.0389253139075243
2026-02-25,1.924850505921807,1.8335974960449244,1.8012800939911238,2.0566878729666014,2.0566878729666014
2026-02-26,1.9287875482996977,1.8387499607626543,1.8031459845026352,2.057722490628779,2.057722490628779
2026-02-27,1.918217880167835,1.829324024708192,1.7937073923706603,2.0459984112018463,2.0459984112018463
2026-03-03,1.8610390484231658,1.7747669051807633,1.7360855703446234,1.9873183306629516,1.9873183306629516
2026-03-04,1.8565965140013034,1.7705303132222399,1.7315859328353052,1.981441497131489,1.981441497131489
