Symbol,YahooTicker,Name,Sector,UniverseType,StartDate,EndDate,SnapshotDate,RevisionDate,OldId
CVS,CVS,CVS Caremark,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
CVX,CVX,Chevron,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
DD,DD,DuPont,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
DIS,DIS,The Walt Disney Company,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
DOW,DOW,Dow Chemical,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
DVN,DVN,Devon Energy,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
EBAY,EBAY,eBay Inc.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
EMC,EMC,EMC Corporation,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
EMR,EMR,Emerson Electric Co.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
EXC,EXC,Exelon,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
F,F,Ford Motor,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
FB,FB,Facebook,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
FCX,FCX,Freeport-McMoran,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
FDX,FDX,FedEx,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
FOXA,FOXA,"Twenty-First Century Fox, Inc",,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
GD,GD,General Dynamics,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
GE,GE,General Electric Co.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
GILD,GILD,Gilead Sciences,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
GM,GM,General Motors,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
GOOG,GOOG,Google Inc.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
GS,GS,Goldman Sachs,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
HAL,HAL,Halliburton,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
HD,HD,Home Depot,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
HON,HON,Honeywell,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
HPQ,HPQ,Hewlett Packard Co,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
IBM,IBM,International Business Machines,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
INTC,INTC,Intel Corporation,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
JNJ,JNJ,Johnson & Johnson Inc,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
JPM,JPM,JP Morgan Chase & Co,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
