Symbol,Name,Sector,YahooTicker,SnapshotDate,RevisionDate,OldId
AAPL,Apple Inc.,,AAPL,2015-04-30,2015-04-19,657208316
ABBV,AbbVie Inc.,,ABBV,2015-04-30,2015-04-19,657208316
ABT,Abbott Laboratories,,ABT,2015-04-30,2015-04-19,657208316
ACN,Accenture plc,,ACN,2015-04-30,2015-04-19,657208316
AIG,American International Group Inc.,,AIG,2015-04-30,2015-04-19,657208316
ALL,Allstate Corp.,,ALL,2015-04-30,2015-04-19,657208316
AMGN,Amgen Inc.,,AMGN,2015-04-30,2015-04-19,657208316
AMZN,Amazon.com,,AMZN,2015-04-30,2015-04-19,657208316
APA,Apache Corp.,,APA,2015-04-30,2015-04-19,657208316
APC,Anadarko Petroleum Corporation,,APC,2015-04-30,2015-04-19,657208316
AXP,American Express Inc.,,AXP,2015-04-30,2015-04-19,657208316
BA,Boeing Co.,,BA,2015-04-30,2015-04-19,657208316
BAC,Bank of America Corp,,BAC,2015-04-30,2015-04-19,657208316
BAX,Baxter International Inc,,BAX,2015-04-30,2015-04-19,657208316
BIIB,Biogen Idec,,BIIB,2015-04-30,2015-04-19,657208316
BK,Bank of New York,,BK,2015-04-30,2015-04-19,657208316
BMY,Bristol-Myers Squibb,,BMY,2015-04-30,2015-04-19,657208316
BRK.B,Berkshire Hathaway,,BRK-B,2015-04-30,2015-04-19,657208316
C,Citigroup Inc,,C,2015-04-30,2015-04-19,657208316
CAT,Caterpillar Inc,,CAT,2015-04-30,2015-04-19,657208316
CL,Colgate-Palmolive Co.,,CL,2015-04-30,2015-04-19,657208316
CMCSA,Comcast Corporation,,CMCSA,2015-04-30,2015-04-19,657208316
COF,Capital One Financial Corp.,,COF,2015-04-30,2015-04-19,657208316
COP,ConocoPhillips,,COP,2015-04-30,2015-04-19,657208316
COST,Costco,,COST,2015-04-30,2015-04-19,657208316
CSCO,Cisco Systems,,CSCO,2015-04-30,2015-04-19,657208316
CVS,CVS Caremark,,CVS,2015-04-30,2015-04-19,657208316
CVX,Chevron,,CVX,2015-04-30,2015-04-19,657208316
DD,DuPont,,DD,2015-04-30,2015-04-19,657208316
DIS,The Walt Disney Company,,DIS,2015-04-30,2015-04-19,657208316
DOW,Dow Chemical,,DOW,2015-04-30,2015-04-19,657208316
DVN,Devon Energy,,DVN,2015-04-30,2015-04-19,657208316
EBAY,eBay Inc.,,EBAY,2015-04-30,2015-04-19,657208316
EMC,EMC Corporation,,EMC,2015-04-30,2015-04-19,657208316
EMR,Emerson Electric Co.,,EMR,2015-04-30,2015-04-19,657208316
EXC,Exelon,,EXC,2015-04-30,2015-04-19,657208316
F,Ford Motor,,F,2015-04-30,2015-04-19,657208316
FB,Facebook,,FB,2015-04-30,2015-04-19,657208316
FCX,Freeport-McMoran,,FCX,2015-04-30,2015-04-19,657208316
FDX,FedEx,,FDX,2015-04-30,2015-04-19,657208316
FOXA,"Twenty-First Century Fox, Inc",,FOXA,2015-04-30,2015-04-19,657208316
GD,General Dynamics,,GD,2015-04-30,2015-04-19,657208316
GE,General Electric Co.,,GE,2015-04-30,2015-04-19,657208316
GILD,Gilead Sciences,,GILD,2015-04-30,2015-04-19,657208316
GM,General Motors,,GM,2015-04-30,2015-04-19,657208316
GOOG,Google Inc.,,GOOG,2015-04-30,2015-04-19,657208316
GS,Goldman Sachs,,GS,2015-04-30,2015-04-19,657208316
HAL,Halliburton,,HAL,2015-04-30,2015-04-19,657208316
HD,Home Depot,,HD,2015-04-30,2015-04-19,657208316
HON,Honeywell,,HON,2015-04-30,2015-04-19,657208316
HPQ,Hewlett Packard Co,,HPQ,2015-04-30,2015-04-19,657208316
IBM,International Business Machines,,IBM,2015-04-30,2015-04-19,657208316
INTC,Intel Corporation,,INTC,2015-04-30,2015-04-19,657208316
JNJ,Johnson & Johnson Inc,,JNJ,2015-04-30,2015-04-19,657208316
JPM,JP Morgan Chase & Co,,JPM,2015-04-30,2015-04-19,657208316
