StrategyName,RoundtripCostPct,CAGR_gross,CAGR_net,CAGR_drag,AnnualTurnover,Trades,MDD_net,Sharpe_net,FinalNAV_net,AvgTurnover,AvgHoldings,RebalanceCount,RunId,RunStartedAt
Biweekly Score50 RegimeState,0.8,0.1177395038245852,0.0795506992795618,0.0381888045450233,8.691679449142608,914,-0.1671471857294494,0.8126238208710278,1.8599184803153077,0.0574258353126103,8.928535480624056,1227,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 RangeOsc,0.8,0.1171165419899988,0.0761956028182615,0.0409209391717373,9.331192643286332,1054,-0.1778348742628838,0.7806041746422007,1.8135725257624504,0.0568338769782865,9.280825364871664,1331,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 RegimeState,0.8,0.1171165419899988,0.0761956028182615,0.0409209391717373,9.33119264328633,1054,-0.1778348742628838,0.7806041746422007,1.8135725257624504,0.0568338769782865,9.280825364871664,1331,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 Rotation,0.8,0.1177577723691321,0.075882562561836,0.041875209807296,9.54777979618998,1054,-0.1800212505435727,0.7730518888237189,1.8093004077992985,0.0581530532158557,9.280825364871664,1331,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Buffer 20/25,0.8,0.1365681855361464,0.0728479952719338,0.0637201902642126,14.425874157361989,3626,-0.2117852005948195,0.6717563097419009,1.7683421703600013,0.0665608042143717,19.54302969300453,1757,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Top20,0.8,0.1352662449276844,0.0640975149442959,0.0711687299833885,16.189323147091827,4366,-0.2188626809559478,0.6042963012764446,1.6547500603081564,0.0744009179537807,19.54302969300453,1764,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Daily Top20,0.8,0.1335271327155325,0.0605606755449135,0.072966457170619,16.640740321722152,4440,-0.2321233098038855,0.574152284598665,1.6106854833899846,0.0678926810615603,19.576245596376445,1987,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 MADScale,1.0,0.1509190727579334,0.074294791743239,0.0766242810146944,13.78508095195243,728,-0.2258116098220139,0.7001434017086866,1.7877673737186022,0.0633517947337209,30.46250629089079,1764,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 MADScale,1.0,0.1507049877974327,0.0740339436125059,0.0766710441849267,13.796408691391608,728,-0.2258116098220138,0.6979055331499211,1.7842513745335913,0.0623435882712098,30.540513336688477,1794,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 RangeOsc,1.0,0.1177395038245852,0.070203653219131,0.0475358506054541,8.691679449142608,914,-0.1872119089297172,0.725848333998137,1.7333159996393832,0.0574258353126103,8.928535480624056,1227,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 RegimeState,1.0,0.1177395038245852,0.070203653219131,0.0475358506054541,8.691679449142608,914,-0.1872119089297172,0.725848333998137,1.7333159996393832,0.0574258353126103,8.928535480624056,1227,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 Rotation,1.0,0.1187037769599697,0.0701455126952814,0.0485582642646882,8.8752599935474,914,-0.1894398604865035,0.7209766827936744,1.7325527710967112,0.0586387500515022,8.928535480624056,1227,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 RangeOsc,1.0,0.1171165419899988,0.0661957394555623,0.0509208025344365,9.331192643286332,1054,-0.205311713824816,0.6876514305999918,1.6813876933986902,0.0568338769782865,9.280825364871664,1331,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 RegimeState,1.0,0.1171165419899988,0.0661957394555623,0.0509208025344365,9.33119264328633,1054,-0.205311713824816,0.6876514305999918,1.6813876933986902,0.0568338769782865,9.280825364871664,1331,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 Rotation,1.0,0.1177577723691321,0.0656550941733207,0.0521026781958113,9.54777979618998,1054,-0.2078153838837906,0.6786325229329336,1.674488328858822,0.0581530532158557,9.280825364871664,1331,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Buffer 20/25,1.0,0.1365681855361464,0.0574767986778661,0.0790913868582803,14.425874157361989,3626,-0.2427631306571303,0.5456424851217228,1.573107238158968,0.0665608042143717,19.54302969300453,1757,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Top20,1.0,0.1352662449276844,0.0470055546455332,0.0882606902821512,16.189323147091827,4366,-0.2591361440224519,0.4617794192388761,1.4511822655693185,0.0744009179537807,19.54302969300453,1764,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Daily Top20,1.0,0.1335271327155325,0.0430566927283262,0.0904704399872062,16.640740321722152,4440,-0.2729365790525013,0.4280197385732916,1.4074019926294532,0.0678926810615603,19.576245596376445,1987,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
